('SK1000', 'FCO', 'MXP', '20:07', '21:26', 'A320neo'),
('SK1001', 'FCO', 'MXP', '00:47', '02:06', 'A320neo'),
('SK1002', 'FCO', 'MXP', '08:15', '09:34', 'A320neo'),
('SK1003', 'FCO', 'VCE', '07:08', '08:12', 'A320neo'),
('SK1004', 'FCO', 'VCE', '23:06', '00:10', 'A320neo'),
('SK1005', 'FCO', 'VCE', '21:47', '22:51', 'A320neo'),
('SK1006', 'FCO', 'NAP', '17:05', '17:35', 'A320neo'),
('SK1007', 'FCO', 'NAP', '18:27', '18:57', 'A320neo'),
('SK1008', 'FCO', 'NAP', '01:01', '01:31', 'A320neo'),
('SK1009', 'FCO', 'TRN', '02:13', '03:35', 'A320neo'),
('SK1010', 'FCO', 'TRN', '07:32', '08:54', 'A320neo'),
('SK1011', 'FCO', 'TRN', '19:01', '20:23', 'A320neo'),
('SK1012', 'FCO', 'BRI', '17:12', '18:11', 'A320neo'),
('SK1013', 'FCO', 'BRI', '22:41', '23:40', 'A320neo'),
('SK1014', 'FCO', 'BRI', '22:34', '23:33', 'A320neo'),
('SK1015', 'FCO', 'CDG', '13:14', '15:20', 'A320neo'),
('SK1016', 'FCO', 'CDG', '14:37', '16:43', 'A320neo'),
('SK1017', 'FCO', 'LHR', '08:51', '11:09', 'A320neo'),
('SK1018', 'FCO', 'LHR', '00:48', '03:06', 'A320neo'),
('SK1019', 'FCO', 'AMS', '05:44', '07:48', 'A320neo'),
('SK1020', 'FCO', 'AMS', '13:21', '15:25', 'A320neo'),
('SK1021', 'FCO', 'FRA', '08:09', '09:59', 'A320neo'),
('SK1022', 'FCO', 'FRA', '06:48', '08:38', 'A320neo'),
('SK1023', 'FCO', 'BCN', '10:06', '11:43', 'A320neo'),
('SK1024', 'FCO', 'BCN', '02:24', '04:01', 'A320neo'),
('SK1025', 'FCO', 'VIE', '03:22', '05:23', 'A320neo'),
('SK1026', 'FCO', 'VIE', '11:38', '13:39', 'A320neo'),
('SK1027', 'FCO', 'CPH', '08:51', '11:17', 'A320neo'),
('SK1028', 'FCO', 'CPH', '01:46', '04:12', 'A320neo'),
('SK1029', 'FCO', 'OSL', '14:34', '17:44', 'A320neo'),
('SK1030', 'FCO', 'OSL', '03:59', '07:09', 'A320neo'),
('SK1031', 'FCO', 'ARN', '12:05', '15:13', 'A320neo'),
('SK1032', 'FCO', 'ARN', '17:18', '20:26', 'A320neo'),
('SK1033', 'FCO', 'DUB', '20:39', '23:34', 'A320neo'),
('SK1034', 'FCO', 'DUB', '11:36', '14:31', 'A320neo'),
('SK1035', 'FCO', 'ATH', '06:45', '08:49', 'A320neo'),
('SK1036', 'FCO', 'ATH', '02:02', '04:06', 'A320neo'),
('SK1037', 'FCO', 'JFK', '21:14', '05:36', 'B787'),
('SK1038', 'FCO', 'LAX', '09:05', '21:31', 'B787'),
('SK1039', 'FCO', 'YYZ', '07:55', '16:33', 'B787'),
('SK1040', 'FCO', 'GRU', '03:24', '14:53', 'B787'),
('SK1041', 'FCO', 'DXB', '08:29', '13:46', 'B787'),
('SK1042', 'FCO', 'NRT', '20:53', '08:55', 'B787'),
('SK1043', 'FCO', 'PEK', '11:10', '21:05', 'B787'),
('SK1044', 'FCO', 'ICN', '11:22', '22:17', 'B787'),
('SK1045', 'MXP', 'FCO', '06:42', '08:01', 'A320neo'),
('SK1046', 'MXP', 'FCO', '08:44', '10:03', 'A320neo'),
('SK1047', 'MXP', 'FCO', '21:41', '23:00', 'A320neo'),
('SK1048', 'MXP', 'VCE', '02:38', '03:21', 'A320neo'),
('SK1049', 'MXP', 'VCE', '20:10', '20:53', 'A320neo'),
('SK1050', 'MXP', 'VCE', '17:46', '18:29', 'A320neo'),
('SK1051', 'MXP', 'NAP', '07:10', '08:57', 'A320neo'),
('SK1052', 'MXP', 'NAP', '14:24', '16:11', 'A320neo'),
('SK1053', 'MXP', 'NAP', '08:59', '10:46', 'A320neo'),
('SK1054', 'MXP', 'TRN', '20:44', '20:59', 'A320neo'),
('SK1055', 'MXP', 'TRN', '17:14', '17:29', 'A320neo'),
('SK1056', 'MXP', 'TRN', '21:20', '21:35', 'A320neo'),
('SK1057', 'MXP', 'BRI', '01:14', '02:47', 'A320neo'),
('SK1058', 'MXP', 'BRI', '01:51', '03:24', 'A320neo'),
('SK1059', 'MXP', 'BRI', '10:25', '11:58', 'A320neo'),
('SK1060', 'MXP', 'CDG', '08:04', '09:36', 'A320neo'),
('SK1061', 'MXP', 'CDG', '06:58', '08:30', 'A320neo'),
('SK1062', 'MXP', 'LHR', '18:56', '20:43', 'A320neo'),
('SK1063', 'MXP', 'LHR', '22:20', '00:07', 'A320neo'),
('SK1064', 'MXP', 'AMS', '06:41', '08:44', 'A320neo'),
('SK1065', 'MXP', 'AMS', '15:25', '17:28', 'A320neo'),
('SK1066', 'MXP', 'FRA', '20:29', '21:45', 'A320neo'),
('SK1067', 'MXP', 'FRA', '04:16', '05:32', 'A320neo'),
('SK1068', 'MXP', 'BCN', '04:15', '06:06', 'A320neo'),
('SK1069', 'MXP', 'BCN', '23:35', '01:26', 'A320neo'),
('SK1070', 'MXP', 'VIE', '17:16', '18:58', 'A320neo'),
('SK1071', 'MXP', 'VIE', '23:37', '01:19', 'A320neo'),
('SK1072', 'MXP', 'CPH', '13:57', '16:08', 'A320neo'),
('SK1073', 'MXP', 'CPH', '18:25', '20:36', 'A320neo'),
('SK1074', 'MXP', 'OSL', '11:14', '13:45', 'A320neo'),
('SK1075', 'MXP', 'OSL', '04:32', '07:03', 'A320neo'),
('SK1076', 'MXP', 'ARN', '15:05', '17:41', 'A320neo'),
('SK1077', 'MXP', 'ARN', '01:55', '04:31', 'A320neo'),
('SK1078', 'MXP', 'DUB', '03:09', '05:21', 'A320neo'),
('SK1079', 'MXP', 'DUB', '20:10', '22:22', 'A320neo'),
('SK1080', 'MXP', 'ATH', '21:27', '23:52', 'A320neo'),
('SK1081', 'MXP', 'ATH', '19:04', '21:29', 'A320neo'),
('SK1082', 'MXP', 'JFK', '12:24', '20:12', 'B787'),
('SK1083', 'MXP', 'LAX', '19:29', '07:17', 'B787'),
('SK1084', 'MXP', 'YYZ', '16:16', '00:19', 'B787'),
('SK1085', 'MXP', 'GRU', '17:55', '05:28', 'B787'),
('SK1086', 'MXP', 'DXB', '00:43', '06:27', 'B787'),
('SK1087', 'MXP', 'NRT', '23:07', '10:57', 'B787'),
('SK1088', 'MXP', 'PEK', '21:56', '07:47', 'B787'),
('SK1089', 'MXP', 'ICN', '17:48', '04:37', 'B787'),
