('SK1000', 'FCO', 'MXP', '20:07'),
('SK1001', 'FCO', 'MXP', '00:47'),
('SK1002', 'FCO', 'MXP', '08:15'),
('SK1003', 'FCO', 'VCE', '07:08'),
('SK1004', 'FCO', 'VCE', '23:06'),
('SK1005', 'FCO', 'VCE', '21:47'),
('SK1006', 'FCO', 'NAP', '17:05'),
('SK1007', 'FCO', 'NAP', '18:27'),
('SK1008', 'FCO', 'NAP', '01:01'),
('SK1009', 'FCO', 'TRN', '02:13'),
('SK1010', 'FCO', 'TRN', '07:32'),
('SK1011', 'FCO', 'TRN', '19:01'),
('SK1012', 'FCO', 'BRI', '17:12'),
('SK1013', 'FCO', 'BRI', '22:41'),
('SK1014', 'FCO', 'BRI', '22:34'),
('SK1015', 'FCO', 'CDG', '13:14'),
('SK1016', 'FCO', 'CDG', '14:37'),
('SK1017', 'FCO', 'LHR', '08:51'),
('SK1018', 'FCO', 'LHR', '00:48'),
('SK1019', 'FCO', 'AMS', '05:44'),
('SK1020', 'FCO', 'AMS', '13:21'),
('SK1021', 'FCO', 'FRA', '08:09'),
('SK1022', 'FCO', 'FRA', '06:48'),
('SK1023', 'FCO', 'BCN', '10:06'),
('SK1024', 'FCO', 'BCN', '02:24'),
('SK1025', 'FCO', 'VIE', '03:22'),
('SK1026', 'FCO', 'VIE', '11:38'),
('SK1027', 'FCO', 'CPH', '08:51'),
('SK1028', 'FCO', 'CPH', '01:46'),
('SK1029', 'FCO', 'OSL', '14:34'),
('SK1030', 'FCO', 'OSL', '03:59'),
('SK1031', 'FCO', 'ARN', '12:05'),
('SK1032', 'FCO', 'ARN', '17:18'),
('SK1033', 'FCO', 'DUB', '20:39'),
('SK1034', 'FCO', 'DUB', '11:36'),
('SK1035', 'FCO', 'ATH', '06:45'),
('SK1036', 'FCO', 'ATH', '02:02'),
('SK1037', 'FCO', 'JFK', '21:14'),
('SK1038', 'FCO', 'LAX', '09:05'),
('SK1039', 'FCO', 'YYZ', '07:55'),
('SK1040', 'FCO', 'GRU', '03:24'),
('SK1041', 'FCO', 'DXB', '08:29'),
('SK1042', 'FCO', 'NRT', '20:53'),
('SK1043', 'FCO', 'PEK', '11:10'),
('SK1044', 'FCO', 'ICN', '11:22'),
('SK1045', 'MXP', 'FCO', '06:42'),
('SK1046', 'MXP', 'FCO', '08:44'),
('SK1047', 'MXP', 'FCO', '21:41'),
('SK1048', 'MXP', 'VCE', '02:38'),
('SK1049', 'MXP', 'VCE', '20:10'),
('SK1050', 'MXP', 'VCE', '17:46'),
('SK1051', 'MXP', 'NAP', '07:10'),
('SK1052', 'MXP', 'NAP', '14:24'),
('SK1053', 'MXP', 'NAP', '08:59'),
('SK1054', 'MXP', 'TRN', '20:44'),
('SK1055', 'MXP', 'TRN', '17:14'),
('SK1056', 'MXP', 'TRN', '21:20'),
('SK1057', 'MXP', 'BRI', '01:14'),
('SK1058', 'MXP', 'BRI', '01:51'),
('SK1059', 'MXP', 'BRI', '10:25'),
('SK1060', 'MXP', 'CDG', '08:04'),
('SK1061', 'MXP', 'CDG', '06:58'),
('SK1062', 'MXP', 'LHR', '18:56'),
('SK1063', 'MXP', 'LHR', '22:20'),
('SK1064', 'MXP', 'AMS', '06:41'),
('SK1065', 'MXP', 'AMS', '15:25'),
('SK1066', 'MXP', 'FRA', '20:29'),
('SK1067', 'MXP', 'FRA', '04:16'),
('SK1068', 'MXP', 'BCN', '04:15'),
('SK1069', 'MXP', 'BCN', '23:35'),
('SK1070', 'MXP', 'VIE', '17:16'),
('SK1071', 'MXP', 'VIE', '23:37'),
('SK1072', 'MXP', 'CPH', '13:57'),
('SK1073', 'MXP', 'CPH', '18:25'),
('SK1074', 'MXP', 'OSL', '11:14'),
('SK1075', 'MXP', 'OSL', '04:32'),
('SK1076', 'MXP', 'ARN', '15:05'),
('SK1077', 'MXP', 'ARN', '01:55'),
('SK1078', 'MXP', 'DUB', '03:09'),
('SK1079', 'MXP', 'DUB', '20:10'),
('SK1080', 'MXP', 'ATH', '21:27'),
('SK1081', 'MXP', 'ATH', '19:04'),
('SK1082', 'MXP', 'JFK', '12:24'),
('SK1083', 'MXP', 'LAX', '19:29'),
('SK1084', 'MXP', 'YYZ', '16:16'),
('SK1085', 'MXP', 'GRU', '17:55'),
('SK1086', 'MXP', 'DXB', '00:43'),
('SK1087', 'MXP', 'NRT', '23:07'),
('SK1088', 'MXP', 'PEK', '21:56'),
('SK1089', 'MXP', 'ICN', '17:48'),
('SK1090', 'VCE', 'FCO', '08:49'),
('SK1091', 'VCE', 'FCO', '20:21'),
('SK1092', 'VCE', 'FCO', '03:18'),
('SK1093', 'VCE', 'MXP', '13:10'),
('SK1094', 'VCE', 'MXP', '14:00'),
('SK1095', 'VCE', 'MXP', '23:56'),
('SK1096', 'VCE', 'NAP', '23:16'),
('SK1097', 'VCE', 'NAP', '16:48'),
('SK1098', 'VCE', 'NAP', '05:32'),
('SK1099', 'VCE', 'TRN', '03:55'),
('SK1100', 'VCE', 'TRN', '20:19'),
('SK1101', 'VCE', 'TRN', '20:32'),
('SK1102', 'VCE', 'BRI', '19:12'),
('SK1103', 'VCE', 'BRI', '04:23'),
('SK1104', 'VCE', 'BRI', '05:34'),
('SK1105', 'VCE', 'CDG', '16:58'),
('SK1106', 'VCE', 'CDG', '00:38'),
('SK1107', 'VCE', 'LHR', '10:31'),
('SK1108', 'VCE', 'LHR', '00:07'),
('SK1109', 'VCE', 'AMS', '11:56'),
('SK1110', 'VCE', 'AMS', '09:15'),
('SK1111', 'VCE', 'FRA', '01:15'),
('SK1112', 'VCE', 'FRA', '18:05'),
('SK1113', 'VCE', 'BCN', '02:46'),
('SK1114', 'VCE', 'BCN', '15:52'),
('SK1115', 'VCE', 'VIE', '02:48'),
('SK1116', 'VCE', 'VIE', '17:49'),
('SK1117', 'VCE', 'CPH', '04:08'),
('SK1118', 'VCE', 'CPH', '21:30'),
('SK1119', 'VCE', 'OSL', '17:10'),
('SK1120', 'VCE', 'OSL', '08:33'),
('SK1121', 'VCE', 'ARN', '19:27'),
('SK1122', 'VCE', 'ARN', '06:59'),
('SK1123', 'VCE', 'DUB', '17:48'),
('SK1124', 'VCE', 'DUB', '23:44'),
('SK1125', 'VCE', 'ATH', '06:45'),
('SK1126', 'VCE', 'ATH', '09:25'),
('SK1127', 'VCE', 'JFK', '21:41'),
('SK1128', 'VCE', 'LAX', '11:28'),
('SK1129', 'VCE', 'YYZ', '16:28'),
('SK1130', 'VCE', 'GRU', '03:15'),
('SK1131', 'VCE', 'DXB', '07:04'),
('SK1132', 'VCE', 'NRT', '10:01'),
('SK1133', 'VCE', 'PEK', '18:35'),
('SK1134', 'VCE', 'ICN', '07:37'),
