('SK1000', 'FCO', 'MXP', '20:07', '21:26', '0'),
('SK1001', 'FCO', 'MXP', '00:47', '02:06', '0'),
('SK1002', 'FCO', 'MXP', '08:15', '09:34', '0'),
('SK1003', 'FCO', 'VCE', '07:08', '08:12', '0'),
('SK1004', 'FCO', 'VCE', '23:06', '00:10', '1'),
('SK1005', 'FCO', 'VCE', '21:47', '22:51', '0'),
('SK1006', 'FCO', 'NAP', '17:05', '17:35', '0'),
('SK1007', 'FCO', 'NAP', '18:27', '18:57', '0'),
('SK1008', 'FCO', 'NAP', '01:01', '01:31', '0'),
('SK1009', 'FCO', 'TRN', '02:13', '03:35', '0'),
('SK1010', 'FCO', 'TRN', '07:32', '08:54', '0'),
('SK1011', 'FCO', 'TRN', '19:01', '20:23', '0'),
('SK1012', 'FCO', 'BRI', '17:12', '18:11', '0'),
('SK1013', 'FCO', 'BRI', '22:41', '23:40', '0'),
('SK1014', 'FCO', 'BRI', '22:34', '23:33', '0'),
('SK1015', 'FCO', 'CDG', '13:14', '15:20', '0'),
('SK1016', 'FCO', 'CDG', '14:37', '16:43', '0'),
('SK1017', 'FCO', 'LHR', '08:51', '11:09', '0'),
('SK1018', 'FCO', 'LHR', '00:48', '03:06', '0'),
('SK1019', 'FCO', 'AMS', '05:44', '07:48', '0'),
('SK1020', 'FCO', 'AMS', '13:21', '15:25', '0'),
('SK1021', 'FCO', 'FRA', '08:09', '09:59', '0'),
('SK1022', 'FCO', 'FRA', '06:48', '08:38', '0'),
('SK1023', 'FCO', 'BCN', '10:06', '11:43', '0'),
('SK1024', 'FCO', 'BCN', '02:24', '04:01', '0'),
('SK1025', 'FCO', 'VIE', '03:22', '05:23', '0'),
('SK1026', 'FCO', 'VIE', '11:38', '13:39', '0'),
('SK1027', 'FCO', 'CPH', '08:51', '11:17', '0'),
('SK1028', 'FCO', 'CPH', '01:46', '04:12', '0'),
('SK1029', 'FCO', 'OSL', '14:34', '17:44', '0'),
('SK1030', 'FCO', 'OSL', '03:59', '07:09', '0'),
('SK1031', 'FCO', 'ARN', '12:05', '15:13', '0'),
('SK1032', 'FCO', 'ARN', '17:18', '20:26', '0'),
('SK1033', 'FCO', 'DUB', '20:39', '23:34', '0'),
('SK1034', 'FCO', 'DUB', '11:36', '14:31', '0'),
('SK1035', 'FCO', 'ATH', '06:45', '08:49', '0'),
('SK1036', 'FCO', 'ATH', '02:02', '04:06', '0'),
('SK1037', 'FCO', 'JFK', '21:14', '05:36', '1'),
('SK1038', 'FCO', 'LAX', '09:05', '21:31', '0'),
('SK1039', 'FCO', 'YYZ', '07:55', '16:33', '0'),
('SK1040', 'FCO', 'GRU', '03:24', '14:53', '0'),
('SK1041', 'FCO', 'DXB', '08:29', '13:46', '0'),
('SK1042', 'FCO', 'NRT', '20:53', '08:55', '1'),
('SK1043', 'FCO', 'PEK', '11:10', '21:05', '0'),
('SK1044', 'FCO', 'ICN', '11:22', '22:17', '0'),
('SK1045', 'MXP', 'FCO', '06:42', '08:01', '0'),
('SK1046', 'MXP', 'FCO', '08:44', '10:03', '0'),
('SK1047', 'MXP', 'FCO', '21:41', '23:00', '0'),
('SK1048', 'MXP', 'VCE', '02:38', '03:21', '0'),
('SK1049', 'MXP', 'VCE', '20:10', '20:53', '0'),
('SK1050', 'MXP', 'VCE', '17:46', '18:29', '0'),
('SK1051', 'MXP', 'NAP', '07:10', '08:57', '0'),
('SK1052', 'MXP', 'NAP', '14:24', '16:11', '0'),
('SK1053', 'MXP', 'NAP', '08:59', '10:46', '0'),
('SK1054', 'MXP', 'TRN', '20:44', '20:59', '0'),
('SK1055', 'MXP', 'TRN', '17:14', '17:29', '0'),
('SK1056', 'MXP', 'TRN', '21:20', '21:35', '0'),
('SK1057', 'MXP', 'BRI', '01:14', '02:47', '0'),
('SK1058', 'MXP', 'BRI', '01:51', '03:24', '0'),
('SK1059', 'MXP', 'BRI', '10:25', '11:58', '0'),
('SK1060', 'MXP', 'CDG', '08:04', '09:36', '0'),
('SK1061', 'MXP', 'CDG', '06:58', '08:30', '0'),
('SK1062', 'MXP', 'LHR', '18:56', '20:43', '0'),
('SK1063', 'MXP', 'LHR', '22:20', '00:07', '1'),
('SK1064', 'MXP', 'AMS', '06:41', '08:44', '0'),
('SK1065', 'MXP', 'AMS', '15:25', '17:28', '0'),
('SK1066', 'MXP', 'FRA', '20:29', '21:45', '0'),
('SK1067', 'MXP', 'FRA', '04:16', '05:32', '0'),
('SK1068', 'MXP', 'BCN', '04:15', '06:06', '0'),
('SK1069', 'MXP', 'BCN', '23:35', '01:26', '1'),
('SK1070', 'MXP', 'VIE', '17:16', '18:58', '0'),
('SK1071', 'MXP', 'VIE', '23:37', '01:19', '1'),
('SK1072', 'MXP', 'CPH', '13:57', '16:08', '0'),
('SK1073', 'MXP', 'CPH', '18:25', '20:36', '0'),
('SK1074', 'MXP', 'OSL', '11:14', '13:45', '0'),
('SK1075', 'MXP', 'OSL', '04:32', '07:03', '0'),
('SK1076', 'MXP', 'ARN', '15:05', '17:41', '0'),
('SK1077', 'MXP', 'ARN', '01:55', '04:31', '0'),
('SK1078', 'MXP', 'DUB', '03:09', '05:21', '0'),
('SK1079', 'MXP', 'DUB', '20:10', '22:22', '0'),
('SK1080', 'MXP', 'ATH', '21:27', '23:52', '0'),
('SK1081', 'MXP', 'ATH', '19:04', '21:29', '0'),
('SK1082', 'MXP', 'JFK', '12:24', '20:12', '0'),
('SK1083', 'MXP', 'LAX', '19:29', '07:17', '1'),
('SK1084', 'MXP', 'YYZ', '16:16', '00:19', '1'),
('SK1085', 'MXP', 'GRU', '17:55', '05:28', '1'),
('SK1086', 'MXP', 'DXB', '00:43', '06:27', '0'),
('SK1087', 'MXP', 'NRT', '23:07', '10:57', '1'),
('SK1088', 'MXP', 'PEK', '21:56', '07:47', '1'),
('SK1089', 'MXP', 'ICN', '17:48', '04:37', '1'),
('SK1090', 'VCE', 'FCO', '08:49', '09:53', '0'),
('SK1091', 'VCE', 'FCO', '20:21', '21:25', '0'),
('SK1092', 'VCE', 'FCO', '03:18', '04:22', '0'),
('SK1093', 'VCE', 'MXP', '13:10', '13:53', '0'),
('SK1094', 'VCE', 'MXP', '14:00', '14:43', '0'),
('SK1095', 'VCE', 'MXP', '23:56', '00:39', '1'),
('SK1096', 'VCE', 'NAP', '23:16', '00:39', '1'),
('SK1097', 'VCE', 'NAP', '16:48', '18:11', '0'),
('SK1098', 'VCE', 'NAP', '05:32', '06:55', '0'),
('SK1099', 'VCE', 'TRN', '03:55', '04:52', '0'),
('SK1100', 'VCE', 'TRN', '20:19', '21:16', '0'),
('SK1101', 'VCE', 'TRN', '20:32', '21:29', '0'),
('SK1102', 'VCE', 'BRI', '19:12', '20:45', '0'),
('SK1103', 'VCE', 'BRI', '04:23', '05:56', '0'),
('SK1104', 'VCE', 'BRI', '05:34', '07:07', '0'),
('SK1105', 'VCE', 'CDG', '16:58', '18:49', '0'),
('SK1106', 'VCE', 'CDG', '00:38', '02:29', '0'),
('SK1107', 'VCE', 'LHR', '10:31', '12:42', '0'),
('SK1108', 'VCE', 'LHR', '00:07', '02:18', '0'),
('SK1109', 'VCE', 'AMS', '11:56', '13:43', '0'),
('SK1110', 'VCE', 'AMS', '09:15', '11:02', '0'),
